species,lake,gear,yearcap,fish,agecap,lencap,anu1,anu2,anu3,anu4,anu5,anu6,anu7,anu8,anu9,anu10,anu11,anu12,radcap
SMB,WB,E,1988,5,1,71,1.90606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90606
SMB,WB,E,1988,3,1,64,1.87707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87707
SMB,WB,E,1988,2,1,57,1.09227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09736
SMB,WB,E,1988,4,1,68,1.31848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33108
SMB,WB,E,1988,6,1,72,1.59283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59283
SMB,WB,E,1988,7,1,80,1.91602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91602
SMB,WB,E,1989,50,1,55,1.05423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05423
SMB,WB,E,1990,482,1,75,1.51076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51076
SMB,WB,E,1990,768,1,75,1.57989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57989
SMB,WB,E,1990,428,1,71,1.48721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48721
SMB,WB,T,1988,10,1,106,1.20489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65743
SMB,WB,T,1988,2,1,57,1.35003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35003
SMB,WB,T,1988,3,1,64,1.52934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52934
SMB,WB,T,1988,9,1,107,0.99393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23671
SMB,WB,T,1988,8,1,102,1.63006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12379
SMB,WB,T,1988,11,1,108,1.66157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78155
SMB,WB,T,1988,5,1,71,1.79928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79928
SMB,WB,T,1988,12,1,142,1.58267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26538
SMB,WB,T,1988,13,1,165,2.53269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.86465
SMB,WB,T,1988,7,1,80,2.01174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01174
SMB,WB,T,1988,6,1,72,1.94824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94824
SMB,WB,T,1988,4,1,68,1.26905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26905
SMB,WB,T,1988,14,1,126,1.34608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62248
SMB,WB,T,1989,8,1,109,1.44449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83006
SMB,WB,T,1989,38,1,113,1.33048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38732
SMB,WB,T,1989,63,1,110,1.37313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54968
SMB,WB,T,1989,49,1,108,1.25047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89161
SMB,WB,T,1989,89,1,105,1.19003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43987
SMB,WB,T,1989,10,1,112,1.23172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49704
SMB,WB,T,1989,28,1,111,1.40594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55128
SMB,WB,T,1989,6,1,121,1.45421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93682
SMB,WB,T,1989,9,1,124,1.65427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06937
SMB,WB,T,1989,16,1,120,1.62437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9223
SMB,WB,T,1989,48,1,120,1.31994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75881
SMB,WB,T,1989,54,1,128,1.4545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90296
SMB,WB,T,1989,30,1,139,1.89971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70595
SMB,WB,T,1989,45,1,131,1.84973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23167
SMB,WB,T,1989,25,1,130,1.76496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19999
SMB,WB,E,1988,11,2,108,1.63791,3.73417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73417
SMB,WB,E,1989,34,2,104,1.00457,2.45876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46004
SMB,WB,E,1989,45,2,93,1.10579,2.36905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36905
SMB,WB,E,1989,47,2,97,1.19847,2.39511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39511
SMB,WB,E,1989,40,2,142,1.56483,3.5576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5576
SMB,WB,E,1989,44,2,126,1.4006,3.19417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19535
SMB,WB,E,1989,57,2,110,1.27705,2.90307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90307
SMB,WB,E,1989,51,2,108,1.30234,2.6324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6324
SMB,WB,E,1989,67,2,120,1.29034,2.7548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7548
SMB,WB,E,1989,52,2,99,0.92937,2.10799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10926
SMB,WB,E,1989,46,2,109,1.0949,2.43577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43577
SMB,WB,E,1989,37,2,114,1.29335,2.74622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74622
SMB,WB,E,1989,42,2,87,0.92176,2.02403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02403
SMB,WB,E,1989,32,2,113,1.42013,2.92346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92346
SMB,WB,E,1989,38,2,88,0.87765,1.61839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61975
SMB,WB,E,1989,36,2,107,1.27806,2.41992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41992
SMB,WB,E,1989,33,2,104,1.19891,2.33555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33682
SMB,WB,E,1989,35,2,111,1.20274,2.74467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74467
SMB,WB,E,1989,13,2,99,1.11986,2.46241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46368
SMB,WB,E,1989,9,2,107,1.35117,2.44184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44184
SMB,WB,E,1989,22,2,88,0.94646,1.98069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98069
SMB,WB,E,1989,18,2,104,0.9953,2.45684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45684
SMB,WB,E,1989,6,2,98,1.01493,2.3821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38326
SMB,WB,E,1989,1,2,112,1.25022,2.76385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76385
SMB,WB,E,1989,61,2,120,1.55486,2.73407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73407
SMB,WB,E,1989,49,2,115,1.26442,2.61356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61356
SMB,WB,E,1990,478,2,116,1.60554,2.73596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73596
SMB,WB,E,1990,379,2,117,1.59628,3.05503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05503
SMB,WB,E,1990,477,2,111,1.32061,2.44914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44914
SMB,WB,E,1990,472,2,112,1.6858,3.1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1239
SMB,WB,E,1990,465,2,114,1.4181,2.68882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68882
SMB,WB,E,1990,460,2,115,1.45289,2.66954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66954
SMB,WB,E,1990,451,2,113,1.23863,2.53006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53006
SMB,WB,E,1990,424,2,102,1.04543,2.1682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1682
SMB,WB,E,1990,402,2,109,1.55956,2.61755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61755
SMB,WB,E,1990,483,2,101,1.61636,2.96301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96301
SMB,WB,E,1990,467,2,107,1.56733,2.86299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86299
SMB,WB,E,1990,461,2,123,1.56882,3.00363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00363
SMB,WB,E,1990,473,2,120,1.61589,2.92671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92671
SMB,WB,E,1990,416,2,127,1.71706,3.50139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50139
SMB,WB,E,1990,432,2,129,1.68153,3.18664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18664
SMB,WB,E,1990,394,2,130,1.38177,2.89306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89306
SMB,WB,E,1990,767,2,99,1.44159,2.34205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34205
SMB,WB,E,1990,730,2,98,1.21677,2.24291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24291
SMB,WB,E,1990,764,2,109,1.49634,2.55828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55828
SMB,WB,E,1990,766,2,112,1.33518,2.76269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76269
SMB,WB,E,1990,756,2,112,1.33616,2.55027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55027
SMB,WB,E,1990,741,2,119,1.35152,2.83109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83109
SMB,WB,E,1990,420,2,110,1.50244,2.69379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6938
SMB,WB,T,1988,15,2,209,0.7087,2.46357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36206
SMB,WB,T,1989,106,2,167,1.48091,3.00513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40351
SMB,WB,T,1989,56,2,139,1.38075,2.60261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27338
SMB,WB,T,1989,88,2,135,0.94241,2.39302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84383
SMB,WB,T,1989,94,2,137,0.96917,1.99437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33335
SMB,WB,T,1989,99,2,131,0.93286,2.00034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24324
SMB,WB,T,1989,13,2,150,0.90209,2.38531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74075
SMB,WB,T,1989,14,2,148,1.50631,3.19842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39618
SMB,WB,T,1989,78,2,145,1.36402,2.84099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11988
SMB,WB,T,1989,82,2,141,1.16215,2.39413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64262
SMB,WB,T,1989,29,2,141,1.19331,2.13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23247
SMB,WB,T,1989,12,2,154,0.97789,2.14274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40893
SMB,WB,T,1989,15,2,156,1.39705,2.68947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96721
SMB,WB,T,1989,84,2,158,1.30294,3.08657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36504
SMB,WB,T,1989,42,2,167,1.33285,2.92042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44305
SMB,WB,T,1989,86,2,163,1.04013,2.97815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82983
SMB,WB,T,1989,90,2,164,1.59163,3.16189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37847
SMB,WB,T,1989,32,2,140,1.11051,2.66616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7129
SMB,WB,T,1989,101,2,170,1.44628,3.05572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46979
SMB,WB,T,1989,55,2,147,1.2286,2.62408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96729
SMB,WB,T,1989,98,2,187,1.66674,3.73638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91685
SMB,WB,T,1989,95,2,205,1.64582,4.13848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04175
SMB,WB,T,1989,69,2,147,1.06293,2.63559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92696
SMB,WB,E,1989,7,3,132,0.95664,2.46623,3.9301,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93541
SMB,WB,E,1989,48,3,150,0.99843,2.48975,3.5568,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5568
SMB,WB,E,1989,65,3,161,1.10572,2.59147,4.2253,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2253
SMB,WB,E,1989,24,3,164,1.19108,2.9491,4.26416,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26416
SMB,WB,E,1990,383,3,138,1.09352,2.1705,3.53202,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53202
SMB,WB,E,1990,476,3,129,1.10148,2.51646,3.54315,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54315
SMB,WB,E,1990,395,3,127,1.08477,1.86442,2.70299,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70299
SMB,WB,E,1990,407,3,129,1.00507,2.45326,3.36983,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36983
SMB,WB,E,1990,419,3,124,0.92862,1.99842,3.27235,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27235
SMB,WB,E,1990,421,3,121,1.24854,2.39074,3.59346,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59346
SMB,WB,E,1990,456,3,123,0.95389,1.93809,2.93893,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93893
SMB,WB,E,1990,425,3,125,0.95257,2.28253,3.15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15369
SMB,WB,E,1990,445,3,127,1.0846,2.32283,3.35407,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35407
SMB,WB,E,1990,446,3,128,1.10491,2.0828,3.25392,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25392
SMB,WB,E,1990,450,3,136,1.09079,2.24928,3.67732,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67732
SMB,WB,E,1990,458,3,137,1.25012,2.2079,3.58724,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58724
SMB,WB,E,1990,466,3,136,1.09887,2.22541,3.31028,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31028
SMB,WB,E,1990,474,3,138,1.21925,2.65449,3.75812,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75812
SMB,WB,E,1990,422,3,136,1.28149,2.30527,3.6441,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6441
SMB,WB,E,1990,480,3,130,1.13157,2.28854,3.26263,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26263
SMB,WB,E,1990,408,3,136,1.16666,2.06616,3.12974,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12974
SMB,WB,E,1990,393,3,136,1.02627,1.82121,2.86264,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86264
SMB,WB,E,1990,431,3,130,1.01867,2.0411,3.22882,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22882
SMB,WB,E,1990,437,3,137,1.05974,2.09889,3.12882,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12882
SMB,WB,E,1990,448,3,138,1.16513,1.97408,3.30415,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30415
SMB,WB,E,1990,459,3,142,1.13538,2.42318,3.58521,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58521
SMB,WB,E,1990,469,3,144,1.35131,2.50698,3.8481,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8481
SMB,WB,E,1990,471,3,146,1.14812,2.32801,3.45954,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45954
SMB,WB,E,1990,485,3,140,1.15443,2.62022,3.70137,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70137
SMB,WB,E,1990,391,3,140,0.84217,2.28892,3.78791,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78791
SMB,WB,E,1990,392,3,142,1.35642,2.80799,3.83032,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83033
SMB,WB,E,1990,406,3,141,1.11139,2.3826,3.61963,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61963
SMB,WB,E,1990,434,3,146,1.28796,2.69392,3.83196,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83196
SMB,WB,E,1990,447,3,142,0.91717,2.06578,3.50787,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50787
SMB,WB,E,1990,696,3,156,1.7379,3.13281,4.49114,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49114
SMB,WB,E,1990,454,3,153,1.50148,2.93332,3.99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99244
SMB,WB,E,1990,457,3,152,1.61583,3.02474,4.29389,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29389
SMB,WB,E,1990,755,3,128,1.17892,2.13313,3.51683,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51686
SMB,WB,E,1990,762,3,139,0.98171,2.14156,3.68562,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68562
SMB,WB,E,1990,752,3,137,1.19776,2.31909,3.75794,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75794
SMB,WB,E,1990,765,3,146,1.22938,2.63145,3.85829,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85829
SMB,WB,E,1990,761,3,144,0.99957,2.62642,4.0323,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0323
SMB,WB,E,1990,753,3,148,1.25349,2.70639,4.02844,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02844
SMB,WB,E,1990,742,3,145,1.19546,2.49726,3.78666,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78666
SMB,WB,E,1990,728,3,148,0.96521,2.49813,4.0286,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0286
SMB,WB,E,1990,763,3,156,1.42507,2.91746,4.58932,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58932
SMB,WB,E,1990,462,3,158,1.31389,2.75829,4.15966,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15966
SMB,WB,E,1990,463,3,152,1.43684,2.59812,4.04656,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04656
SMB,WB,E,1990,468,3,158,1.33755,2.91184,4.72364,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72364
SMB,WB,E,1990,470,3,157,1.41907,2.82411,4.06781,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06781
SMB,WB,E,1990,479,3,153,1.19153,2.46236,3.83699,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83699
SMB,WB,E,1990,481,3,150,1.3685,2.83047,4.23423,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23423
SMB,WB,E,1990,385,3,152,1.20873,2.49425,3.89114,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89114
SMB,WB,E,1990,386,3,155,1.3653,2.62638,3.76311,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76311
SMB,WB,E,1990,390,3,155,1.20333,2.54113,4.01598,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01598
SMB,WB,E,1990,400,3,154,1.46875,2.95394,3.86272,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86272
SMB,WB,E,1990,401,3,155,1.55124,2.70621,3.70074,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70074
